program_id,program_name,department,district,start_date,budget_allocated,beneficiaries,completion_rate,budget_utilization,satisfaction_score,social_engagement,sentiment_score,reach_rate,cost_per_beneficiary,roi_score,effectiveness_score,impact_category,implementation_status,risk_level,strategic_recommendation,budget_efficiency_score,beneficiary_scale,satisfaction_category,budget_tier,program_age_days,program_maturity
PRG-01456,Digital Literacy Program,DISKOMINFO,Bumiaji,2024-05-15,1816386025,29511,81.77,99.54,4.34,156136,0.544,81.57,61549.46,85.2,85.2,High Impact,Completed,Low,Scale up program implementation.,85.5937311633514,Large Scale,High,Tier 1,727,Established
PRG-01457,Digital Literacy Program,DISKOMINFO,Batu,2025-05-10,4131453750,29202,62.75,83.89,3.82,72792,0.659,100.0,141478.45,78.79,78.79,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,93.92061032304208,Large Scale,Moderate,Tier 2,367,Established
PRG-01458,Public WiFi Expansion,DISKOMINFO,Junrejo,2024-10-18,9804458534,26011,72.95,86.3,4.29,145572,0.804,70.1,376935.09,79.31,79.31,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,91.90034762456547,Large Scale,High,Tier 4,571,Established
PRG-01459,Public WiFi Expansion,DISKOMINFO,Bumiaji,2025-07-02,1725124755,7722,100.0,81.54,4.87,58520,0.38,92.9,223403.88,92.04,92.04,High Impact,Expanded,Low,Scale up program implementation.,112.87711552612215,Medium Scale,High,Tier 1,314,Growing
PRG-01460,Public WiFi Expansion,DISKOMINFO,Bumiaji,2025-12-10,3912168053,40118,87.61,87.6,3.83,188658,0.944,85.6,97516.53,85.41,85.41,High Impact,Completed,Low,Scale up program implementation.,97.50000000000001,Large Scale,Moderate,Tier 2,153,Early Stage
PRG-01461,Public WiFi Expansion,DISKOMINFO,Batu,2024-04-29,5338166906,3833,87.56,84.67,3.95,169922,0.144,67.12,1392686.38,77.85,77.85,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,91.94519900791306,Small Scale,Moderate,Tier 3,743,Mature
PRG-01462,Digital Literacy Program,DISKOMINFO,Junrejo,2024-07-07,9971070157,9320,69.04,75.07,3.34,178605,0.547,79.19,1069857.31,72.24,72.24,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,96.23018516051685,Medium Scale,Moderate,Tier 4,674,Established
PRG-01463,Smart City Initiative,DISKOMINFO,Bumiaji,2024-11-20,8995542235,10972,86.07,86.72,4.06,171564,0.384,47.88,819863.49,75.63,75.63,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,87.21171586715867,Medium Scale,High,Tier 4,538,Established
PRG-01464,Public WiFi Expansion,DISKOMINFO,Junrejo,2025-04-04,9788286000,32145,88.83,93.3,4.27,22658,0.725,56.69,304504.15,81.95,81.95,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,87.83494105037514,Large Scale,High,Tier 4,403,Established
PRG-01465,Digital Literacy Program,DISKOMINFO,Batu,2024-01-26,1875325559,33306,70.28,89.6,3.87,159070,0.259,84.74,56305.94,77.1,77.1,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,86.04910714285714,Large Scale,Moderate,Tier 1,837,Mature
PRG-01466,Smart City Initiative,DISKOMINFO,Bumiaji,2025-07-13,7824857808,32339,72.21,80.62,3.03,122685,0.512,75.48,241963.51,71.55,71.55,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,88.7496899032498,Large Scale,Moderate,Tier 4,303,Growing
PRG-01467,Environmental Sustainability,Dinas Lingkungan Hidup,Junrejo,2025-08-10,3364261005,44597,100.0,91.93,3.5,162704,0.419,51.66,75436.94,78.72,78.72,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,85.6303709344066,Large Scale,Moderate,Tier 2,275,Growing
PRG-01468,Agricultural Innovation,Dinas Pertanian,Bumiaji,2025-03-28,9572326500,27457,69.57,90.22,3.34,111065,0.115,91.4,348629.73,74.96,74.96,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,83.08579029040123,Large Scale,Moderate,Tier 4,410,Established
PRG-01469,Environmental Sustainability,Dinas Lingkungan Hidup,Batu,2024-05-22,5296946333,25676,77.6,89.77,4.11,117751,0.203,85.55,206299.51,80.43,80.43,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,89.59563328506184,Large Scale,High,Tier 3,720,Established
PRG-01470,Smart City Initiative,DISKOMINFO,Junrejo,2025-09-24,4111538856,18818,90.84,91.44,3.6,16169,0.68,99.05,218489.68,87.18,87.18,High Impact,Completed,Low,Scale up program implementation.,95.34120734908137,Medium Scale,Moderate,Tier 2,230,Growing
PRG-01471,Environmental Sustainability,Dinas Lingkungan Hidup,Junrejo,2024-04-04,1901733322,8750,72.99,93.14,3.1,45858,0.609,100.0,217340.95,79.43,79.43,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,85.28022331973374,Medium Scale,Moderate,Tier 1,768,Mature
PRG-01472,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-07-18,1693688100,20739,88.78,76.37,3.9,39805,0.67,87.6,81666.82,83.47,83.47,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,109.29684431059316,Large Scale,Moderate,Tier 1,663,Established
PRG-01473,Smart City Initiative,DISKOMINFO,Batu,2025-07-05,8443333218,18598,78.72,85.0,3.94,174872,0.703,76.6,453991.46,79.88,79.88,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,93.97647058823529,Medium Scale,Moderate,Tier 4,311,Growing
PRG-01474,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-02-07,5630123844,43598,87.42,84.37,4.26,29750,0.411,77.1,129137.2,82.67,82.67,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,97.98506578167596,Large Scale,High,Tier 3,459,Established
PRG-01475,Healthcare Outreach,Dinas Kesehatan,Bumiaji,2025-09-11,7658707130,49885,100.0,83.81,3.37,41878,0.283,79.78,153527.26,81.77,81.77,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,97.56592292089248,Large Scale,Moderate,Tier 4,243,Growing
PRG-01476,Education Assistance,Dinas Pendidikan,Batu,2025-03-13,6382515917,22452,71.85,94.26,3.98,173593,0.277,79.86,284273.82,77.93,77.93,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,82.67557818799067,Large Scale,Moderate,Tier 3,425,Established
PRG-01477,Healthcare Outreach,Dinas Kesehatan,Batu,2024-10-18,6276388343,19663,80.82,96.26,3.98,76379,0.867,73.41,319197.9,82.58,82.58,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.78848950758362,Medium Scale,Moderate,Tier 3,571,Established
PRG-01478,Digital Literacy Program,DISKOMINFO,Junrejo,2025-07-28,876233267,6916,93.61,86.27,4.08,146465,0.411,50.8,126696.54,78.62,78.62,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,91.13249101657588,Medium Scale,High,Tier 1,288,Growing
PRG-01479,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2025-03-01,8246770248,32471,66.25,100.0,3.25,81636,0.684,100.0,253973.4,79.53,79.53,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,79.53,Large Scale,Moderate,Tier 4,437,Established
PRG-01480,Digital Literacy Program,DISKOMINFO,Batu,2025-03-10,2278948768,25474,71.88,78.86,4.61,21860,0.161,80.24,89461.76,78.28,78.28,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,99.26451940147096,Large Scale,High,Tier 1,428,Established
PRG-01481,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-03-29,1116926023,18027,96.36,85.3,3.99,44336,1.0,40.19,61958.51,79.69,79.69,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,93.4232121922626,Medium Scale,Moderate,Tier 1,774,Mature
PRG-01482,Digital Literacy Program,DISKOMINFO,Junrejo,2025-06-21,9032546734,7089,83.79,86.44,4.16,44085,0.404,64.92,1274163.74,78.92,78.92,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,91.30032392410922,Medium Scale,High,Tier 4,325,Growing
PRG-01483,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-01-19,879882490,32011,91.25,100.0,3.22,77034,0.632,62.47,27486.88,79.1,79.1,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,79.1,Large Scale,Moderate,Tier 1,478,Established
PRG-01484,Education Assistance,Dinas Pendidikan,Bumiaji,2024-10-06,2280324145,45345,92.57,100.0,3.82,114436,0.255,74.05,50288.33,82.96,82.96,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,82.96,Large Scale,Moderate,Tier 1,583,Established
PRG-01485,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2025-12-28,4429345815,24503,69.65,100.0,3.03,8464,0.304,77.56,180767.49,73.06,73.06,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,73.06,Large Scale,Moderate,Tier 2,135,Early Stage
PRG-01486,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2025-01-25,2607049214,37580,86.74,96.43,4.26,99622,0.277,92.53,69373.32,86.69,86.69,High Impact,Completed,Low,Scale up program implementation.,89.89940889764596,Large Scale,High,Tier 1,472,Established
PRG-01487,Digital Literacy Program,DISKOMINFO,Bumiaji,2024-11-07,7972624728,44518,92.11,100.0,3.73,73439,0.869,84.33,179087.67,87.49,87.49,High Impact,Completed,Low,Scale up program implementation.,87.49,Large Scale,Moderate,Tier 4,551,Established
PRG-01488,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2024-01-03,5456495207,32794,68.46,61.58,4.57,192373,0.407,64.6,166387.0,72.58,72.58,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,117.86294251380318,Large Scale,High,Tier 3,860,Mature
PRG-01489,Digital Literacy Program,DISKOMINFO,Bumiaji,2025-10-13,2529548895,25345,100.0,75.46,4.2,184999,0.169,55.77,99804.65,79.31,79.31,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,105.10204081632654,Large Scale,High,Tier 1,211,Growing
PRG-01490,Digital Literacy Program,DISKOMINFO,Junrejo,2024-07-02,1551194393,47853,95.82,89.99,4.36,40244,0.192,88.03,32415.82,87.6,87.6,High Impact,Expanded,Low,Scale up program implementation.,97.34414934992778,Large Scale,High,Tier 1,679,Established
PRG-01491,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2025-05-19,9376515546,16062,71.24,93.73,4.92,101965,0.631,63.48,583770.11,80.89,80.89,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,86.30107756321348,Medium Scale,High,Tier 4,358,Growing
PRG-01492,Healthcare Outreach,Dinas Kesehatan,Bumiaji,2025-05-07,7224091648,46359,84.27,98.86,2.95,171314,0.696,79.6,155829.32,79.26,79.26,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,80.17398341088408,Large Scale,Low,Tier 3,370,Established
PRG-01493,Digital Literacy Program,DISKOMINFO,Bumiaji,2025-12-03,5308575323,7893,69.21,71.16,4.04,37660,0.851,72.29,672567.51,75.36,75.36,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,105.90219224283305,Medium Scale,High,Tier 3,160,Early Stage
PRG-01494,Youth Entrepreneurship,Dinas Koperasi,Bumiaji,2025-08-12,1614703737,40668,85.76,81.48,4.14,173192,0.424,63.17,39704.53,78.39,78.39,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.20765832106038,Large Scale,High,Tier 1,273,Growing
PRG-01495,Agricultural Innovation,Dinas Pertanian,Batu,2024-05-29,6167987217,10248,90.37,84.52,3.46,71069,0.77,65.99,601872.29,79.16,79.16,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,93.65830572645528,Medium Scale,Moderate,Tier 3,713,Established
PRG-01496,Public WiFi Expansion,DISKOMINFO,Junrejo,2024-06-16,5022120947,30761,78.44,83.43,3.57,78734,0.402,86.99,163262.6,78.29,78.29,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,93.83914658995566,Large Scale,Moderate,Tier 2,695,Established
PRG-01497,Healthcare Outreach,Dinas Kesehatan,Junrejo,2025-10-13,2028941040,21904,90.8,100.0,3.56,148318,0.364,75.81,92628.79,82.0,82.0,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,82.0,Large Scale,Moderate,Tier 1,211,Growing
PRG-01498,Digital Literacy Program,DISKOMINFO,Junrejo,2025-06-26,9419902664,45344,89.89,100.0,4.12,76569,0.833,84.31,207743.09,88.59,88.59,High Impact,Completed,Low,Scale up program implementation.,88.59,Large Scale,High,Tier 4,320,Growing
PRG-01499,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2024-07-06,3784315878,5022,84.39,100.0,3.95,19179,0.209,88.01,753547.57,83.71,83.71,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,83.71,Medium Scale,Moderate,Tier 2,675,Established
PRG-01500,Agricultural Innovation,Dinas Pertanian,Batu,2025-07-10,8230413737,9931,100.0,82.03,3.0,171310,0.429,98.66,828759.82,84.18,84.18,Moderate Impact,Expanded,Medium,Optimize delivery and improve stakeholder engagement.,102.62099231988297,Medium Scale,Low,Tier 4,306,Growing
PRG-01501,Digital Literacy Program,DISKOMINFO,Bumiaji,2025-12-15,7751393618,4212,92.5,72.6,4.21,80030,0.719,90.5,1840311.88,86.37,86.37,High Impact,Completed,Low,Scale up program implementation.,118.96694214876034,Small Scale,High,Tier 4,148,Early Stage
PRG-01502,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2025-08-16,1117262027,25857,89.18,89.51,4.98,136204,0.511,82.11,43209.27,89.06,89.06,High Impact,Completed,Low,Scale up program implementation.,99.49726287565635,Large Scale,High,Tier 1,269,Growing
PRG-01503,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-10-15,6877592736,21051,68.5,75.47,3.65,78173,0.362,93.51,326710.98,75.64,75.64,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,100.22525506823904,Large Scale,Moderate,Tier 3,574,Established
PRG-01504,Healthcare Outreach,Dinas Kesehatan,Batu,2024-04-14,1435771229,26538,61.33,90.49,3.88,57377,0.895,80.44,54102.47,76.96,76.96,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,85.04807161012266,Large Scale,Moderate,Tier 1,758,Mature
PRG-01505,Youth Entrepreneurship,Dinas Koperasi,Batu,2024-07-11,3947056094,46790,93.28,80.88,4.33,28569,0.207,51.6,84356.83,78.1,78.1,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.56280909990109,Large Scale,High,Tier 2,670,Established
PRG-01506,Education Assistance,Dinas Pendidikan,Junrejo,2024-03-19,4869611254,46486,89.81,85.05,3.85,33646,0.776,66.21,104754.36,81.05,81.05,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,95.29688418577308,Large Scale,Moderate,Tier 2,784,Mature
PRG-01507,Healthcare Outreach,Dinas Kesehatan,Junrejo,2025-12-08,2057220130,40930,72.84,76.15,4.14,137615,0.731,92.08,50261.91,81.06,81.06,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,106.44780039395928,Large Scale,High,Tier 1,155,Early Stage
PRG-01508,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2025-06-19,1969072661,37179,81.23,100.0,4.05,5799,0.468,99.6,52961.96,86.88,86.88,High Impact,Completed,Low,Scale up program implementation.,86.88,Large Scale,High,Tier 1,327,Growing
PRG-01509,Digital Literacy Program,DISKOMINFO,Batu,2024-05-01,1455019690,25105,89.57,76.49,4.71,17490,0.356,79.82,57957.37,84.63,84.63,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,110.6419139756831,Large Scale,High,Tier 1,741,Mature
PRG-01510,Public WiFi Expansion,DISKOMINFO,Bumiaji,2024-08-20,1820394595,23694,78.81,93.63,4.2,108294,0.426,72.17,76829.35,80.23,80.23,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,85.68834775178897,Large Scale,High,Tier 1,630,Established
PRG-01511,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2024-03-21,979843174,43897,84.78,90.49,3.8,67775,0.744,74.95,22321.42,81.73,81.73,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,90.3193723063322,Large Scale,Moderate,Tier 1,782,Mature
PRG-01512,Smart City Initiative,DISKOMINFO,Junrejo,2025-03-17,682608864,3506,87.42,70.91,4.32,32139,0.565,97.68,194697.34,85.8,85.8,High Impact,Completed,Low,Scale up program implementation.,120.9984487378367,Small Scale,High,Tier 1,421,Established
PRG-01513,Digital UMKM Empowerment,Dinas Koperasi,Batu,2025-11-06,5049509559,47137,56.33,86.03,4.5,199633,0.416,84.55,107124.12,76.28,76.28,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,88.66674415901429,Large Scale,High,Tier 2,187,Growing
PRG-01514,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2024-02-14,5079497553,21455,91.61,63.13,3.85,152583,0.455,97.86,236751.23,83.04,83.04,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,131.53809599239665,Large Scale,Moderate,Tier 2,818,Mature
PRG-01515,Smart City Initiative,DISKOMINFO,Batu,2024-05-06,9972125952,45746,70.73,97.26,3.95,81291,0.263,60.37,217989.03,73.94,73.94,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,76.02303105079169,Large Scale,Moderate,Tier 4,736,Mature
PRG-01516,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2025-11-17,2009825605,26412,93.76,98.53,3.09,153015,0.584,79.95,76095.17,82.25,82.25,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,83.47711356947123,Large Scale,Moderate,Tier 1,176,Early Stage
PRG-01517,Digital UMKM Empowerment,Dinas Koperasi,Batu,2024-10-11,6288913862,5885,98.05,86.12,4.5,87843,-0.11,96.2,1068634.47,88.51,88.51,High Impact,Expanded,Low,Scale up program implementation.,102.77519739897816,Medium Scale,High,Tier 3,578,Established
PRG-01518,Public WiFi Expansion,DISKOMINFO,Bumiaji,2025-09-19,2949142215,33056,88.39,87.31,4.01,7563,0.577,91.52,89216.55,85.86,85.86,High Impact,Completed,Low,Scale up program implementation.,98.33925094490894,Large Scale,High,Tier 2,235,Growing
PRG-01519,Digital UMKM Empowerment,Dinas Koperasi,Bumiaji,2024-01-15,2771345114,47361,71.2,83.87,4.26,121497,0.403,59.83,58515.34,74.21,74.21,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,88.48217479432454,Large Scale,High,Tier 1,848,Mature
PRG-01520,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2024-06-24,2806940725,10926,78.28,94.66,5.0,34368,0.608,66.51,256904.7,84.02,84.02,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,88.75977181491653,Medium Scale,High,Tier 2,687,Established
PRG-01521,Digital UMKM Empowerment,Dinas Koperasi,Batu,2025-05-31,6833854872,9224,81.37,94.53,4.14,71333,0.417,58.59,740877.59,78.08,78.08,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,82.5981169998942,Medium Scale,High,Tier 3,346,Growing
PRG-01522,Agricultural Innovation,Dinas Pertanian,Batu,2025-03-26,960955243,17667,92.81,95.05,3.87,81520,0.435,76.93,54392.67,84.02,84.02,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,88.3955812730142,Medium Scale,Moderate,Tier 1,412,Established
PRG-01523,Healthcare Outreach,Dinas Kesehatan,Junrejo,2025-03-10,5772305209,15118,70.25,87.89,3.58,150388,0.347,97.95,381816.72,78.49,78.49,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,89.30481283422459,Medium Scale,Moderate,Tier 3,428,Established
PRG-01524,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2024-05-06,2501032544,23895,61.89,88.26,3.91,76937,0.117,71.81,104667.61,71.31,71.31,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,80.79537729435758,Large Scale,Moderate,Tier 1,736,Mature
PRG-01525,Youth Entrepreneurship,Dinas Koperasi,Batu,2025-05-22,8068907829,26476,84.63,83.25,3.64,106977,0.176,77.7,304763.1,77.5,77.5,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,93.09309309309309,Large Scale,Moderate,Tier 4,355,Growing
PRG-01526,Digital Literacy Program,DISKOMINFO,Bumiaji,2024-02-11,5148219528,14781,95.48,92.96,3.84,95682,0.217,88.1,348299.81,85.49,85.49,High Impact,Expanded,Low,Scale up program implementation.,91.96428571428571,Medium Scale,Moderate,Tier 2,821,Mature
PRG-01527,Environmental Sustainability,Dinas Lingkungan Hidup,Batu,2025-01-29,6013069182,43688,88.96,90.85,3.76,116827,0.661,98.22,137636.63,87.05,87.05,High Impact,Completed,Low,Scale up program implementation.,95.81728123280132,Large Scale,Moderate,Tier 3,468,Established
PRG-01528,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-11-15,8407422108,44273,92.91,100.0,3.97,191256,0.344,83.96,189899.53,86.23,86.23,High Impact,Completed,Low,Scale up program implementation.,86.23,Large Scale,Moderate,Tier 4,543,Established
PRG-01529,Tourism Promotion Campaign,Dinas Pariwisata,Bumiaji,2025-02-21,8468734873,41033,86.07,94.1,4.06,69340,0.324,70.88,206388.39,81.02,81.02,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,86.09989373007438,Large Scale,High,Tier 4,445,Established
PRG-01530,Tourism Promotion Campaign,Dinas Pariwisata,Batu,2025-05-02,2078148768,23732,65.92,84.17,4.56,140438,0.455,91.38,87567.37,80.76,80.76,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,95.94867529998812,Large Scale,High,Tier 1,375,Established
PRG-01531,Smart City Initiative,DISKOMINFO,Bumiaji,2025-05-18,3386628103,47882,83.95,78.36,3.87,75319,0.06,96.93,70728.63,80.96,80.96,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,103.31801939765187,Large Scale,Moderate,Tier 2,359,Growing
PRG-01532,Education Assistance,Dinas Pendidikan,Junrejo,2025-06-19,865097623,40590,93.88,80.4,3.71,178031,0.383,82.85,21313.07,82.26,82.26,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,102.31343283582089,Large Scale,Moderate,Tier 1,327,Growing
PRG-01533,Public WiFi Expansion,DISKOMINFO,Junrejo,2025-02-14,4698634862,4456,87.05,96.47,4.39,53499,0.008,93.71,1054451.27,86.34,86.34,High Impact,Completed,Low,Scale up program implementation.,89.49932621540376,Small Scale,High,Tier 2,452,Established
PRG-01534,Public WiFi Expansion,DISKOMINFO,Batu,2025-01-07,4688484316,20184,94.11,71.43,5.0,128851,0.736,74.19,232287.17,87.46,87.46,High Impact,Completed,Low,Scale up program implementation.,122.4415511689766,Large Scale,High,Tier 2,490,Established
PRG-01535,Healthcare Outreach,Dinas Kesehatan,Batu,2025-09-01,2236408179,22359,94.94,87.14,4.03,60353,0.066,62.67,100022.73,79.56,79.56,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,91.30135414275878,Large Scale,High,Tier 1,253,Growing
PRG-01536,Tourism Promotion Campaign,Dinas Pariwisata,Junrejo,2025-05-26,6513965794,29387,70.44,89.79,4.6,72442,0.575,66.18,221661.48,78.71,78.71,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,87.66009577903998,Large Scale,High,Tier 3,351,Growing
PRG-01537,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2025-09-09,8875782454,11111,77.24,100.0,4.82,44724,0.51,56.32,798828.41,81.08,81.08,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,81.08,Medium Scale,High,Tier 4,245,Growing
PRG-01538,Environmental Sustainability,Dinas Lingkungan Hidup,Bumiaji,2024-10-12,2452641348,2535,86.34,79.42,4.18,44315,0.254,100.0,967511.38,84.99,84.99,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,107.01334676403927,Small Scale,High,Tier 1,577,Established
PRG-01539,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2025-05-16,2635774649,44618,88.19,82.75,3.9,31694,0.318,74.5,59074.24,79.84,79.84,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.4833836858006,Large Scale,Moderate,Tier 1,361,Growing
PRG-01540,Public WiFi Expansion,DISKOMINFO,Batu,2024-04-11,3668819811,17425,85.51,94.13,4.47,155605,0.574,88.56,210549.2,87.72,87.72,High Impact,Completed,Low,Scale up program implementation.,93.190268777223,Medium Scale,High,Tier 2,761,Mature
PRG-01541,Digital UMKM Empowerment,Dinas Koperasi,Junrejo,2025-11-25,5564177433,21498,94.33,92.01,3.86,113713,0.384,91.93,258823.03,86.69,86.69,High Impact,Completed,Low,Scale up program implementation.,94.21801978045865,Large Scale,Moderate,Tier 3,168,Early Stage
PRG-01542,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-11-30,5450966235,39234,84.7,65.92,4.33,95194,0.602,73.02,138934.76,79.59,79.59,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,120.7372572815534,Large Scale,High,Tier 3,528,Established
PRG-01543,Agricultural Innovation,Dinas Pertanian,Bumiaji,2024-04-08,3764911503,48915,76.86,100.0,4.87,8485,0.527,82.43,76968.45,86.52,86.52,High Impact,Completed,Low,Scale up program implementation.,86.52,Large Scale,High,Tier 2,764,Mature
PRG-01544,Youth Entrepreneurship,Dinas Koperasi,Junrejo,2025-04-22,5662257572,25969,84.23,100.0,3.76,121631,0.461,75.45,218039.11,81.45,81.45,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,81.45,Large Scale,Moderate,Tier 3,385,Established
PRG-01545,Environmental Sustainability,Dinas Lingkungan Hidup,Junrejo,2025-05-31,2847715190,15377,77.53,100.0,2.75,162046,-0.045,100.0,185193.16,76.76,76.76,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,76.76,Medium Scale,Low,Tier 2,346,Growing
PRG-01546,Smart City Initiative,DISKOMINFO,Junrejo,2024-05-01,6442645060,28868,69.55,91.63,3.72,176363,0.303,82.97,223176.01,76.32,76.32,Moderate Impact,In Progress,Medium,Optimize delivery and improve stakeholder engagement.,83.29149841754882,Large Scale,Moderate,Tier 3,741,Mature
PRG-01547,Healthcare Outreach,Dinas Kesehatan,Junrejo,2025-03-29,2474208537,16148,81.16,93.55,4.74,10815,0.871,46.24,153220.74,80.68,80.68,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,86.24265098877606,Medium Scale,High,Tier 1,409,Established
PRG-01548,Smart City Initiative,DISKOMINFO,Batu,2025-07-24,8142389509,28335,81.88,74.26,2.56,184786,0.269,83.5,287361.55,71.55,71.55,Moderate Impact,Completed,Medium,Optimize delivery and improve stakeholder engagement.,96.35065984379207,Large Scale,Low,Tier 4,292,Growing
PRG-01549,Public WiFi Expansion,DISKOMINFO,Junrejo,2025-03-17,5372589903,33246,100.0,81.1,4.53,143037,0.627,73.32,161601.09,87.59,87.59,High Impact,Expanded,Low,Scale up program implementation.,108.00246609124538,Large Scale,High,Tier 3,421,Established
